,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2020-08-03,36939.601563,-0.9994,0.13,0.767,0.103,37595.730469,37596.019531,36911.230469,14300.0
2020-08-04,37687.910156,-0.9992,0.113,0.801,0.086,37092.859375,37745.601563,36987.730469,15100.0
2020-08-05,37663.328125,-0.9996,0.12,0.795,0.084,37892.359375,38139.960938,37550.601563,19800.0
2020-08-06,38025.449219,-0.9992,0.132,0.76,0.108,37946.800781,38221.398438,37755.101563,16600.0
2020-08-07,38040.570313,-0.9999,0.136,0.793,0.07,37951.070313,38109.679688,37787.378906,15300.0
2020-08-10,38182.078125,-0.9997,0.128,0.79,0.082,38168.421875,38430.691406,38073.289063,17200.0
2020-08-11,38407.011719,-0.9998,0.127,0.804,0.069,38371.339844,38556.269531,38313.058594,18700.0
2020-08-12,38369.628906,-0.9997,0.118,0.813,0.069,38321.128906,38414.371094,38125.808594,25300.0
2020-08-13,38310.488281,-0.9998,0.138,0.778,0.084,38456.640625,38516.851563,38215.050781,15400.0
2020-08-14,37877.339844,-0.9989,0.091,0.847,0.061,38432.941406,38540.570313,37654.921875,18600.0
2020-08-17,38050.78125,-0.9993,0.102,0.829,0.069,38062.070313,38119.378906,37734.140625,21500.0
2020-08-18,38528.320313,-0.9999,0.147,0.768,0.085,38084.699219,38571.230469,38062.011719,13600.0
2020-08-19,38614.789063,-0.9998,0.126,0.805,0.068,38727.890625,38788.511719,38550.648438,12800.0
2020-08-20,38220.390625,-0.9995,0.103,0.829,0.068,38283.898438,38402.449219,38155.78125,15800.0
2020-08-21,38434.71875,-0.9995,0.12,0.797,0.083,38471.929688,38579.828125,38411.371094,16800.0
2020-08-24,38799.078125,-0.9996,0.127,0.786,0.087,38566.960938,38894.941406,38545.761719,28100.0
2020-08-25,38843.878906,-0.9997,0.11,0.828,0.062,38948.460938,39008.890625,38679.671875,15700.0
2020-08-26,39073.921875,-0.9999,0.169,0.762,0.068,38930.179688,39111.550781,38765.089844,16400.0
2020-08-27,39113.46875,-0.9996,0.127,0.783,0.091,39293.53125,39326.980469,39046.941406,14500.0
2020-08-28,39467.308594,-0.9995,0.118,0.796,0.086,39264.480469,39579.578125,39235.03125,22500.0
2020-08-31,38628.289063,-0.9999,0.153,0.761,0.087,39888.148438,40010.171875,38395.890625,27900.0
2020-09-01,38900.800781,-0.9998,0.135,0.783,0.082,38754.0,39226.820313,38542.109375,22000.0
2020-09-02,39086.03125,-0.9995,0.11,0.815,0.075,38892.640625,39141.839844,38736.21875,17100.0
2020-09-03,38990.941406,-0.9999,0.167,0.757,0.077,39165.800781,39236.359375,38943.429688,9200.0
2020-09-04,38357.179688,-0.9998,0.136,0.789,0.076,38325.0,38729.660156,38249.769531,15400.0
2020-09-07,38417.230469,-0.9997,0.128,0.793,0.079,38284.78125,38519.921875,38060.738281,12500.0
2020-09-08,38365.351563,-0.9998,0.14,0.772,0.088,38498.070313,38746.480469,38275.449219,11900.0
2020-09-09,38193.921875,-0.9998,0.128,0.801,0.071,37988.558594,38252.671875,37935.261719,14000.0
2020-09-10,38840.320313,-0.9997,0.124,0.793,0.082,38516.878906,38878.25,38367.070313,16500.0
2020-09-11,38854.550781,-0.9993,0.109,0.815,0.076,38865.171875,38978.519531,38711.800781,11400.0
2020-09-14,38756.628906,-0.9997,0.133,0.784,0.083,39073.511719,39230.160156,38573.171875,14700.0
2020-09-15,39044.351563,-0.9998,0.135,0.793,0.072,38904.671875,39102.25,38753.679688,11600.0
2020-09-16,39302.851563,-0.9998,0.131,0.792,0.077,39161.011719,39359.511719,39037.960938,11700.0
2020-09-17,38979.851563,-0.9998,0.126,0.81,0.065,39120.640625,39234.808594,38926.339844,11400.0
2020-09-18,38845.820313,-0.9997,0.105,0.848,0.047,39200.421875,39200.421875,38635.730469,14300.0
2020-09-21,38034.140625,-0.9997,0.115,0.817,0.068,38812.691406,38990.761719,37938.53125,15800.0
2020-09-22,37734.078125,-0.9998,0.133,0.8,0.067,38200.710938,38209.96875,37531.140625,15300.0
2020-09-23,37668.421875,-0.9999,0.152,0.765,0.083,38124.941406,38140.070313,37313.089844,15000.0
2020-09-24,36553.601563,-0.9996,0.106,0.839,0.055,37282.179688,37304.261719,36495.980469,13900.0
2020-09-25,37388.660156,-0.9998,0.141,0.776,0.083,36991.890625,37471.171875,36730.519531,13500.0
2020-09-28,37981.628906,-0.9998,0.137,0.781,0.082,37756.25,38035.871094,37544.050781,13600.0
2020-09-29,37973.21875,-0.9994,0.124,0.783,0.093,38176.859375,38235.941406,37831.351563,10600.0
2020-09-30,38067.929688,-0.9998,0.133,0.789,0.078,38068.890625,38236.339844,37828.109375,18400.0
2020-10-01,38697.050781,-0.9998,0.137,0.782,0.081,38410.199219,38738.890625,38410.199219,12900.0
2020-10-05,38973.699219,-0.9989,0.092,0.851,0.057,38956.78125,39263.851563,38819.890625,15500.0
2020-10-06,39574.570313,-0.9998,0.125,0.815,0.06,39336.339844,39623.761719,39191.101563,11300.0
2020-10-07,39878.949219,-0.9999,0.146,0.775,0.079,39633.191406,39968.039063,39450.820313,15000.0
2020-10-08,40182.671875,-0.9994,0.111,0.814,0.075,40204.320313,40468.878906,40062.230469,14400.0
2020-10-09,40509.488281,-0.9998,0.14,0.783,0.077,40226.25,40585.359375,40066.539063,16600.0
2020-10-12,40593.800781,-0.9999,0.128,0.809,0.063,40716.949219,40905.488281,40387.398438,17600.0
2020-10-13,40625.511719,-0.9999,0.148,0.785,0.067,40592.539063,40786.820313,40461.96875,11000.0
2020-10-14,40794.738281,-0.9999,0.15,0.759,0.09,40623.191406,40880.25,40279.550781,15000.0
2020-10-15,39728.410156,-0.9999,0.138,0.786,0.076,41048.050781,41048.050781,39667.46875,30400.0
2020-10-16,39982.980469,-0.9998,0.129,0.787,0.084,39936.609375,40125.710938,39699.421875,11000.0
2020-10-19,40431.601563,-0.9999,0.147,0.779,0.073,40318.570313,40519.480469,40211.21875,12300.0
2020-10-20,40544.371094,-0.9998,0.142,0.763,0.095,40420.289063,40732.011719,40305.589844,12100.0
2020-10-21,40707.308594,-0.9999,0.138,0.788,0.073,40767.140625,40976.019531,40150.480469,16700.0
2020-10-22,40558.488281,-0.9999,0.152,0.762,0.086,40531.308594,40721.570313,40309.050781,13900.0
2020-10-23,40685.5,-0.9997,0.12,0.805,0.075,40728.390625,40811.121094,40590.898438,12400.0
2020-10-26,40145.5,-0.9993,0.115,0.798,0.087,40649.761719,40724.398438,39948.289063,10100.0
2020-10-27,40522.101563,-0.9999,0.149,0.764,0.088,40199.078125,40555.601563,39978.390625,13900.0
2020-10-28,39922.460938,-0.9998,0.142,0.776,0.082,40664.351563,40664.351563,39774.601563,29400.0
2020-10-29,39749.851563,-0.9999,0.15,0.773,0.077,39537.171875,40010.828125,39524.25,19500.0
2020-10-30,39614.070313,-0.9999,0.148,0.763,0.088,39779.820313,39988.25,39241.871094,12000.0
2020-11-02,39757.578125,-0.9996,0.121,0.797,0.082,39880.378906,39968.03125,39334.921875,15400.0
2020-11-03,40261.128906,-0.9998,0.13,0.786,0.083,39990.75,40354.730469,39952.789063,21400.0
2020-11-04,40616.140625,-0.9994,0.108,0.82,0.071,40171.710938,40693.511719,40076.46875,20900.0
2020-11-05,41340.160156,-0.9999,0.137,0.789,0.074,41112.121094,41370.910156,41030.171875,42600.0
2020-11-06,41893.058594,-0.9996,0.105,0.837,0.058,41438.761719,41954.929688,41383.289063,19000.0
2020-11-09,42597.429688,-0.9998,0.131,0.787,0.082,42273.96875,42645.328125,42263.640625,24300.0
2020-11-10,43277.648438,-0.9998,0.126,0.8,0.074,42959.25,43316.441406,42660.089844,28700.0
2020-11-11,43593.671875,0.9974,0.116,0.758,0.127,43444.058594,43708.46875,42970.210938,30300.0
2020-11-12,43357.191406,-0.9993,0.122,0.783,0.094,43291.890625,43543.960938,43127.550781,14500.0
2020-11-13,43443.0,-0.9997,0.135,0.771,0.094,43298.921875,43522.25,43053.371094,24400.0
2020-11-17,43952.710938,-0.9998,0.135,0.782,0.082,44095.851563,44161.160156,43699.21875,20900.0
2020-11-18,44180.050781,-0.9999,0.148,0.788,0.064,43978.578125,44215.488281,43785.78125,18300.0
2020-11-19,43599.960938,-0.9994,0.107,0.82,0.073,43902.238281,44230.0,43518.109375,24100.0
2020-11-20,43882.25,-0.9998,0.13,0.787,0.083,43732.140625,44013.019531,43453.75,17100.0
2020-11-23,44077.148438,-0.9983,0.102,0.815,0.083,44164.171875,44271.148438,43747.21875,17800.0
2020-11-24,44523.019531,-0.9996,0.124,0.787,0.089,44341.191406,44601.628906,44247.121094,17900.0
2020-11-25,43828.101563,-0.9999,0.127,0.813,0.06,44749.730469,44825.371094,43757.96875,19100.0
2020-11-26,44259.738281,-0.9999,0.142,0.786,0.073,43967.589844,44361.78125,43582.398438,14600.0
2020-11-27,44149.71875,-0.9998,0.124,0.799,0.077,44325.03125,44407.28125,43995.410156,15700.0
2020-12-01,44655.441406,-0.9999,0.149,0.775,0.076,44435.828125,44730.789063,44118.101563,16000.0
2020-12-02,44618.039063,-0.9985,0.102,0.82,0.078,44729.519531,44729.640625,44169.96875,16000.0
2020-12-03,44632.648438,-0.9999,0.139,0.797,0.064,44902.019531,44953.011719,44551.421875,30700.0
